epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
72,2266.34,1.26636,1.67916,0.02062,0.69033,0.6521,0.69804,0.45027,1.32852,1.40966,0.02896,0.0002971,0.0002971,0.0002971
73,2297.73,1.2945,1.70209,0.02034,0.73238,0.62673,0.71465,0.45583,1.3476,1.36101,0.02943,0.0002872,0.0002872,0.0002872
74,2329.51,1.27625,1.66319,0.02062,0.73289,0.64435,0.71479,0.46155,1.33115,1.33718,0.02918,0.0002773,0.0002773,0.0002773
75,2360.99,1.27386,1.66423,0.02043,0.67157,0.66213,0.70722,0.45907,1.34552,1.35982,0.02946,0.0002674,0.0002674,0.0002674
76,2391.78,1.27074,1.65247,0.02052,0.69016,0.65903,0.71425,0.45854,1.33644,1.37604,0.02941,0.0002575,0.0002575,0.0002575
77,2422.89,1.28078,1.64875,0.02033,0.70811,0.66135,0.72119,0.4601,1.34252,1.32738,0.02922,0.0002476,0.0002476,0.0002476
78,2453.51,1.25303,1.63117,0.02004,0.69792,0.68177,0.72507,0.46947,1.33437,1.32172,0.02913,0.0002377,0.0002377,0.0002377
79,2485.16,1.25232,1.60971,0.01998,0.68503,0.67172,0.71575,0.46425,1.32934,1.31185,0.02892,0.0002278,0.0002278,0.0002278
80,2516.64,1.27507,1.64534,0.02021,0.67454,0.66821,0.7193,0.46684,1.32951,1.33899,0.02908,0.0002179,0.0002179,0.0002179
81,2547.63,1.25217,1.62856,0.02035,0.74249,0.63809,0.72101,0.47107,1.30169,1.32284,0.02834,0.000208,0.000208,0.000208
82,2578.93,1.23077,1.60468,0.01971,0.72475,0.65709,0.72596,0.47284,1.30312,1.33679,0.02845,0.0001981,0.0001981,0.0001981
83,2610.95,1.2642,1.61615,0.02006,0.72988,0.66934,0.7288,0.48232,1.30506,1.30017,0.02852,0.0001882,0.0001882,0.0001882
84,2642.97,1.24083,1.5972,0.01991,0.7453,0.66465,0.7236,0.47936,1.29644,1.30132,0.02839,0.0001783,0.0001783,0.0001783
85,2673.94,1.23408,1.54614,0.01949,0.72439,0.69085,0.73469,0.48324,1.30356,1.29727,0.02858,0.0001684,0.0001684,0.0001684
86,2705.75,1.23252,1.56324,0.01946,0.74947,0.68046,0.7428,0.48838,1.3023,1.24864,0.02843,0.0001585,0.0001585,0.0001585
87,2737.21,1.22531,1.55751,0.01913,0.74597,0.68256,0.73794,0.48248,1.30111,1.28003,0.02828,0.0001486,0.0001486,0.0001486
88,2768.12,1.2485,1.58944,0.01985,0.71154,0.69709,0.73881,0.48651,1.29478,1.2732,0.02815,0.0001387,0.0001387,0.0001387
89,2799.17,1.22759,1.58942,0.01933,0.72984,0.67521,0.73623,0.48451,1.28942,1.28299,0.02799,0.0001288,0.0001288,0.0001288
90,2829.76,1.22531,1.53519,0.01951,0.74114,0.68074,0.73864,0.48544,1.28974,1.26413,0.02785,0.0001189,0.0001189,0.0001189
91,2861.76,1.3176,1.40048,0.02754,0.71548,0.68183,0.73501,0.46989,1.34331,1.3378,0.02958,0.000109,0.000109,0.000109
92,2891.63,1.27001,1.31419,0.02599,0.68691,0.69268,0.73719,0.47724,1.31113,1.30137,0.02844,9.91e-05,9.91e-05,9.91e-05
93,2921.32,1.24292,1.25429,0.02559,0.71727,0.67512,0.737,0.48195,1.29394,1.28977,0.028,8.92e-05,8.92e-05,8.92e-05
94,2950.75,1.2473,1.27196,0.02615,0.70467,0.68524,0.74279,0.48589,1.28247,1.28052,0.0277,7.93e-05,7.93e-05,7.93e-05
95,2980.44,1.23467,1.24248,0.0255,0.75748,0.66325,0.74606,0.48583,1.28706,1.28301,0.02784,6.94e-05,6.94e-05,6.94e-05
96,3010.15,1.22842,1.25144,0.02544,0.77594,0.65499,0.74911,0.48866,1.28093,1.26035,0.0277,5.95e-05,5.95e-05,5.95e-05
97,3039.86,1.21456,1.24235,0.0251,0.72875,0.68075,0.7485,0.49045,1.26976,1.26048,0.02736,4.96e-05,4.96e-05,4.96e-05
98,3069.4,1.22141,1.20791,0.02492,0.76874,0.66696,0.75064,0.49269,1.27769,1.24604,0.02755,3.97e-05,3.97e-05,3.97e-05
99,3099.15,1.21185,1.23439,0.02481,0.7593,0.6678,0.75006,0.49256,1.27568,1.25571,0.02751,2.98e-05,2.98e-05,2.98e-05
100,3127.85,1.21181,1.20301,0.02482,0.73643,0.68832,0.74903,0.49237,1.27028,1.25671,0.02736,1.99e-05,1.99e-05,1.99e-05
