epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
76,8422.65,0.25215,0.46565,0.22431,0.87984,0.85264,0.8873,0.67981,0.29962,0.48164,0.39432,2.575e-05,2.575e-05,2.575e-05
77,8533.56,0.25474,0.47646,0.22573,0.88882,0.84691,0.88605,0.67846,0.2944,0.48174,0.38767,2.476e-05,2.476e-05,2.476e-05
78,8644.33,0.2516,0.47719,0.2261,0.87358,0.84942,0.88484,0.67157,0.30047,0.48648,0.39587,2.377e-05,2.377e-05,2.377e-05
79,8755.16,0.25855,0.46984,0.23126,0.88399,0.85533,0.89042,0.67756,0.29941,0.48163,0.39698,2.278e-05,2.278e-05,2.278e-05
80,8865.81,0.24732,0.4675,0.2188,0.88887,0.85642,0.89371,0.68215,0.29557,0.48271,0.39244,2.179e-05,2.179e-05,2.179e-05
81,8976.74,0.24935,0.47496,0.22558,0.86543,0.87174,0.88782,0.67508,0.30017,0.47772,0.39914,2.08e-05,2.08e-05,2.08e-05
82,9087.45,0.24986,0.47358,0.22409,0.87981,0.86017,0.89019,0.67881,0.29652,0.47847,0.39153,1.981e-05,1.981e-05,1.981e-05
83,9198.04,0.2471,0.47371,0.22254,0.89226,0.84859,0.89253,0.6821,0.2982,0.48077,0.39076,1.882e-05,1.882e-05,1.882e-05
84,9308.82,0.2467,0.46795,0.22242,0.87443,0.86044,0.88903,0.678,0.30565,0.47947,0.4066,1.783e-05,1.783e-05,1.783e-05
85,9419.2,0.24684,0.46157,0.22788,0.85742,0.8632,0.88641,0.6761,0.30325,0.49346,0.40551,1.684e-05,1.684e-05,1.684e-05
86,9529.85,0.24534,0.46522,0.21998,0.8772,0.86057,0.89203,0.67848,0.3036,0.46764,0.4042,1.585e-05,1.585e-05,1.585e-05
87,9640.5,0.24134,0.46052,0.22007,0.87769,0.86342,0.8882,0.67677,0.3052,0.46588,0.40408,1.486e-05,1.486e-05,1.486e-05
88,9751.21,0.25011,0.45694,0.22236,0.88331,0.86132,0.89452,0.67868,0.30025,0.47786,0.3989,1.387e-05,1.387e-05,1.387e-05
89,9861.56,0.24053,0.4533,0.21633,0.8781,0.86557,0.88643,0.67494,0.29938,0.47677,0.40189,1.288e-05,1.288e-05,1.288e-05
90,9972.29,0.24223,0.46692,0.2189,0.87653,0.86014,0.89049,0.67442,0.30211,0.48221,0.40305,1.189e-05,1.189e-05,1.189e-05
91,10083.3,0.2031,0.4109,0.2327,0.88776,0.85767,0.89338,0.68003,0.30047,0.46759,0.39976,1.09e-05,1.09e-05,1.09e-05
92,10194.5,0.20311,0.38605,0.22373,0.88807,0.87259,0.89695,0.6845,0.29506,0.46194,0.39343,9.91e-06,9.91e-06,9.91e-06
93,10305.6,0.20268,0.38196,0.22939,0.87316,0.88147,0.89618,0.68846,0.29484,0.46414,0.39111,8.92e-06,8.92e-06,8.92e-06
94,10416.8,0.19966,0.37939,0.21524,0.88316,0.87315,0.89558,0.69254,0.28902,0.46659,0.3823,7.93e-06,7.93e-06,7.93e-06
95,10527.9,0.20009,0.37077,0.22339,0.88561,0.87382,0.90045,0.69665,0.29161,0.45813,0.38913,6.94e-06,6.94e-06,6.94e-06
96,10638.8,0.19281,0.3704,0.21438,0.88404,0.87067,0.89726,0.6917,0.29528,0.46342,0.39269,5.95e-06,5.95e-06,5.95e-06
97,10749.6,0.19706,0.3566,0.20823,0.88809,0.87043,0.89779,0.69263,0.29544,0.46357,0.39141,4.96e-06,4.96e-06,4.96e-06
98,10860.5,0.19322,0.35685,0.20965,0.88223,0.87433,0.90096,0.69748,0.29192,0.45648,0.38462,3.97e-06,3.97e-06,3.97e-06
99,10971.3,0.19244,0.36301,0.21188,0.88544,0.86553,0.89979,0.69655,0.2942,0.45613,0.38824,2.98e-06,2.98e-06,2.98e-06
100,11082,0.19208,0.36764,0.20894,0.88675,0.86395,0.8997,0.69826,0.29114,0.4593,0.38097,1.99e-06,1.99e-06,1.99e-06
