epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,813.125,1.16109,1.51008,1.47791,0.73329,0.60416,0.69041,0.43466,1.29556,1.42555,1.60955,0.004555,0.004555,0.004555
57,827.901,1.15628,1.5146,1.46456,0.68057,0.62872,0.67839,0.42049,1.303,1.46066,1.61595,0.004456,0.004456,0.004456
58,841.837,1.13305,1.49286,1.46045,0.74185,0.61049,0.69637,0.4349,1.29347,1.46646,1.62231,0.004357,0.004357,0.004357
59,856.078,1.14271,1.4589,1.45849,0.66109,0.57038,0.6192,0.36927,1.33434,1.60644,1.65362,0.004258,0.004258,0.004258
60,869.26,1.1376,1.44798,1.45634,0.63367,0.57497,0.63189,0.37638,1.34429,1.54197,1.66598,0.004159,0.004159,0.004159
61,883.008,1.11122,1.46337,1.45741,0.73578,0.58702,0.67962,0.42576,1.29883,1.44971,1.61602,0.00406,0.00406,0.00406
62,897.017,1.12818,1.44071,1.45451,0.70635,0.62078,0.67524,0.42848,1.26002,1.47464,1.57212,0.003961,0.003961,0.003961
63,910.766,1.11354,1.4291,1.44849,0.75663,0.59903,0.69684,0.4449,1.23042,1.37258,1.56846,0.003862,0.003862,0.003862
64,925.819,1.11879,1.4196,1.44985,0.76801,0.60598,0.70251,0.44456,1.28646,1.3893,1.60575,0.003763,0.003763,0.003763
65,940.097,1.0951,1.42597,1.43844,0.7158,0.6674,0.71648,0.45217,1.32115,1.36901,1.64069,0.003664,0.003664,0.003664
66,954.876,1.12369,1.41757,1.4595,0.71703,0.63864,0.70464,0.45497,1.25937,1.37797,1.58521,0.003565,0.003565,0.003565
67,969.714,1.08648,1.38949,1.43592,0.68134,0.68846,0.7196,0.45825,1.24739,1.32238,1.57666,0.003466,0.003466,0.003466
68,984.462,1.08214,1.35684,1.42655,0.77448,0.66406,0.73565,0.45668,1.26874,1.33518,1.58548,0.003367,0.003367,0.003367
69,998.637,1.07687,1.37859,1.42979,0.75186,0.65484,0.7347,0.46988,1.22026,1.31442,1.55559,0.003268,0.003268,0.003268
70,1013.91,1.06593,1.32828,1.41651,0.70299,0.61303,0.68212,0.42765,1.2794,1.44662,1.61666,0.003169,0.003169,0.003169
71,1028.25,1.08114,1.31562,1.41836,0.75921,0.60818,0.70156,0.44266,1.27558,1.40152,1.60743,0.00307,0.00307,0.00307
72,1042.84,1.08025,1.33098,1.41523,0.75667,0.64674,0.72769,0.4614,1.23378,1.29679,1.56092,0.002971,0.002971,0.002971
73,1056.99,1.03967,1.31224,1.38962,0.70965,0.65811,0.72281,0.46313,1.25797,1.32258,1.58471,0.002872,0.002872,0.002872
74,1071.7,1.06907,1.30855,1.41572,0.77687,0.6445,0.73414,0.47888,1.23022,1.29617,1.55527,0.002773,0.002773,0.002773
75,1086.54,1.03412,1.30462,1.39204,0.7655,0.66646,0.73601,0.46482,1.26885,1.30106,1.58227,0.002674,0.002674,0.002674
76,1101.28,1.03391,1.2506,1.37261,0.68252,0.68317,0.71895,0.45576,1.24917,1.30465,1.57988,0.002575,0.002575,0.002575
77,1115.64,1.04261,1.27573,1.3922,0.73321,0.68329,0.7445,0.47362,1.2325,1.25615,1.54119,0.002476,0.002476,0.002476
78,1129.7,1.03735,1.25836,1.37023,0.70662,0.68888,0.72485,0.46869,1.21013,1.28089,1.53844,0.002377,0.002377,0.002377
79,1144.22,1.04244,1.29841,1.40063,0.8095,0.6674,0.7445,0.4865,1.21493,1.26911,1.53023,0.002278,0.002278,0.002278
80,1158.94,1.01364,1.23867,1.36343,0.79742,0.66714,0.76368,0.49739,1.20508,1.22176,1.52717,0.002179,0.002179,0.002179
81,1174.51,1.01662,1.25865,1.37698,0.76269,0.67277,0.74319,0.49064,1.17118,1.24563,1.514,0.00208,0.00208,0.00208
82,1188.83,1.02694,1.24041,1.38575,0.76471,0.68835,0.75242,0.49462,1.1969,1.22746,1.51968,0.001981,0.001981,0.001981
83,1203.09,1.00393,1.22404,1.36751,0.72225,0.70997,0.75825,0.49034,1.20058,1.22751,1.5221,0.001882,0.001882,0.001882
84,1216.58,1.03027,1.2344,1.39319,0.75067,0.68981,0.75987,0.49574,1.2102,1.23175,1.53884,0.001783,0.001783,0.001783
85,1229.97,1.00744,1.20942,1.37223,0.78088,0.69914,0.75962,0.50144,1.19873,1.20856,1.53303,0.001684,0.001684,0.001684
86,1244.1,0.98889,1.182,1.35988,0.72363,0.72102,0.76918,0.50125,1.18484,1.16563,1.50853,0.001585,0.001585,0.001585
