epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2124.39,1.01565,1.16513,1.36741,0.84132,0.69773,0.79648,0.55581,1.0912,1.05841,1.41498,0.003565,0.003565,0.003565
67,2156.4,1.00221,1.17185,1.3686,0.82048,0.70205,0.80018,0.56151,1.07817,1.05613,1.41019,0.003466,0.003466,0.003466
68,2187.8,1.01774,1.15378,1.36621,0.7908,0.74257,0.80103,0.55563,1.09767,1.07521,1.4217,0.003367,0.003367,0.003367
69,2218.39,1.0129,1.16079,1.37394,0.8032,0.74835,0.80167,0.56041,1.08809,1.04578,1.43,0.003268,0.003268,0.003268
70,2248.98,0.99907,1.1413,1.36245,0.81385,0.71031,0.78894,0.55182,1.08434,1.08169,1.40998,0.003169,0.003169,0.003169
71,2279.93,1.01321,1.16612,1.37656,0.82432,0.71308,0.79378,0.55578,1.10001,1.05379,1.42951,0.00307,0.00307,0.00307
72,2310.7,1.00085,1.15453,1.36595,0.84538,0.73438,0.81248,0.58181,1.05112,0.99761,1.38208,0.002971,0.002971,0.002971
73,2342.15,0.97705,1.11777,1.34977,0.83359,0.738,0.80963,0.57993,1.0583,1.00819,1.39282,0.002872,0.002872,0.002872
74,2373.13,0.99134,1.11673,1.35888,0.82669,0.74122,0.8085,0.56703,1.06623,1.03126,1.40196,0.002773,0.002773,0.002773
75,2403.98,0.99377,1.11702,1.35674,0.80995,0.73764,0.80783,0.56789,1.0683,1.0119,1.40608,0.002674,0.002674,0.002674
76,2434.77,0.98429,1.10482,1.34279,0.79234,0.74366,0.80223,0.56797,1.06333,1.02444,1.39651,0.002575,0.002575,0.002575
77,2466.14,0.971,1.09516,1.33518,0.83013,0.73352,0.81542,0.57647,1.04973,1.00057,1.38951,0.002476,0.002476,0.002476
78,2497.09,0.97808,1.08684,1.34737,0.77275,0.76321,0.80953,0.57606,1.05453,0.99926,1.38713,0.002377,0.002377,0.002377
79,2528.58,0.98141,1.09155,1.34485,0.84347,0.75485,0.8227,0.59201,1.03409,0.96955,1.37397,0.002278,0.002278,0.002278
80,2559.76,0.94726,1.0609,1.31994,0.84425,0.75406,0.82161,0.59001,1.04485,0.96427,1.38445,0.002179,0.002179,0.002179
81,2590.93,0.97047,1.07982,1.3426,0.86772,0.74753,0.82547,0.59072,1.03647,0.9614,1.3644,0.00208,0.00208,0.00208
82,2622.48,0.95278,1.06312,1.32965,0.85151,0.74417,0.828,0.59149,1.03353,0.94405,1.37313,0.001981,0.001981,0.001981
